Model,Avg_RMSE
LSTM,0.03340715616941452
Ridge,0.0334353066612816
Lasso,0.03343809558702473
XGB,0.033517858873032456
Transformer,0.033625295385718346
RandomForest,0.03368972724093363
LinearRegression,0.03413688564304726
ARIMA,0.03428141849288248
