Model,Avg_CV_RMSE
LinearRegression,0.03417613511773428
Lasso,0.033465100154922704
Ridge,0.0336169357556999
RandomForest,0.03441706776757195
XGB,0.03721532318280811
"ARIMA(5, 1, 0)",0.03513600040278989
LSTM,0.033854426443576814
Transformer,0.03524596281349659
